Wavelength (nm),Absorbance
828,0.029738
827,0.029804
826,0.029807
825,0.029993
824,0.029982
823,0.029802
822,0.029414
821,0.030043
820,0.029947
819,0.029569
818,0.029549
817,0.029393
816,0.029387
815,0.029293
814,0.029067
813,0.02941
812,0.028985
811,0.029282
810,0.029215
809,0.029348
808,0.029106
807,0.028928
806,0.028773
805,0.028541
804,0.028717
803,0.028811
802,0.028608
801,0.028584
800,0.028472
799,0.028524
798,0.028299
797,0.028175
796,0.028218
795,0.028002
794,0.028118
793,0.028158
792,0.028241
791,0.027809
790,0.027805
789,0.027509
788,0.027498
787,0.027575
786,0.0273
785,0.027068
784,0.027501
783,0.027032
782,0.027461
781,0.027091
780,0.027123
779,0.026851
778,0.026682
777,0.026625
776,0.026939
775,0.026212
774,0.026047
773,0.026241
772,0.026013
771,0.026153
770,0.025794
769,0.026064
768,0.025657
767,0.025784
766,0.025885
765,0.025345
764,0.025613
763,0.025624
762,0.025219
761,0.024919
760,0.025157
759,0.025429
758,0.025045
757,0.02495
756,0.024718
755,0.024802
754,0.024672
753,0.024598
752,0.024489
751,0.02454
750,0.024372
749,0.024167
748,0.024151
747,0.024164
746,0.024151
745,0.024022
744,0.023728
743,0.023639
742,0.023327
741,0.023512
740,0.023713
739,0.023442
738,0.023341
737,0.023162
736,0.023211
735,0.022907
734,0.023003
733,0.023093
732,0.022936
731,0.022825
730,0.022821
729,0.022696
728,0.022415
727,0.022505
726,0.02237
